Date,Deaths
1/1/21,149474
1/2/21,149435
1/3/21,149649
1/4/21,149850
1/5/21,150114
1/6/21,150336
1/7/21,150570
1/8/21,150570
1/9/21,150999
1/10/21,151160
1/11/21,151327
1/12/21,151529
1/13/21,151727
1/14/21,151918
1/15/21,152093
1/16/21,152274
1/17/21,152419
1/18/21,152556
1/19/21,152718
1/20/21,152869
1/21/21,153032
1/22/21,153184
1/23/21,153339
1/24/21,153470
1/25/21,153587
1/26/21,153724
1/27/21,153847
1/28/21,154010
1/29/21,154147
1/30/21,154274
1/31/21,154392
2/1/21,154486
2/2/21,154596
2/3/21,154703
2/4/21,154823
2/5/21,154918
2/6/21,154996
2/7/21,155080
2/8/21,155158
2/9/21,155252
2/10/21,155360
2/11/21,155447
2/12/21,155550
2/13/21,155642
2/14/21,155732
2/15/21,155813
2/16/21,155913
2/17/21,156014
2/18/21,156111
2/19/21,156212
2/20/21,156302
2/21/21,156385
2/22/21,156463
2/23/21,156567
2/24/21,156705
2/25/21,156825
2/26/21,156938
2/27/21,157051
2/28/21,157157
3/1/21,157248
3/2/21,157346
3/3/21,157435
3/4/21,157548
3/5/21,157656
3/6/21,157756
3/7/21,157853
3/8/21,157930
3/9/21,158063
3/10/21,158189
3/11/21,158306
3/12/21,158446
3/13/21,158607
3/14/21,158725
3/15/21,158856
3/16/21,159044
3/17/21,159216
3/18/21,159370
3/19/21,159558
3/20/21,159755
3/21/21,159967
3/22/21,160166
3/23/21,160441
3/24/21,160692
3/25/21,160949
3/26/21,161240
3/27/21,161552
3/28/21,161843
3/29/21,162114
3/30/21,162468
3/31/21,162927
4/1/21,163396
4/2/21,164110
4/3/21,164623
4/4/21,165101
4/5/21,165547
4/6/21,166177
4/7/21,166862
4/8/21,167642
4/9/21,168436
4/10/21,169275
4/11/21,170179
4/12/21,171058
4/13/21,172085
4/14/21,173123
4/15/21,174308
4/16/21,175649
4/17/21,177150
4/18/21,178769
4/19/21,180530
4/20/21,182553
4/21/21,184657
4/22/21,186920
4/23/21,189544
4/24/21,192311
4/25/21,195123
4/26/21,197894
4/27/21,201187
4/28/21,204832
4/29/21,208330
4/30/21,211853
5/1/21,215542
5/2/21,218959
5/3/21,222408
5/4/21,226188
5/5/21,230168
5/6/21,234083
5/7/21,238270
5/8/21,242347
5/9/21,246116
5/10/21,249992
5/11/21,254197
5/12/21,258317
5/13/21,262317
5/14/21,266207
5/15/21,270284
5/16/21,274390
5/17/21,278719
5/18/21,283248
5/19/21,287122
5/20/21,291331
5/21/21,295525
5/22/21,299266
5/23/21,303720
5/24/21,307231
5/25/21,311388
5/26/21,315235
5/27/21,318895
5/28/21,322512
5/29/21,325972
5/30/21,329100
5/31/21,331895
6/1/21,335102
6/2/21,337989
6/3/21,340702
6/4/21,344082
6/5/21,346759
6/6/21,349186
6/7/21,351309
6/8/21,353528
6/9/21,355705
6/10/21,363079
6/11/21,367081
6/12/21,370384
6/13/21,374305
6/14/21,377031
6/15/21,379573
6/16/21,381903
6/17/21,383490
6/18/21,385137
6/19/21,386708
6/20/21,388135
6/21/21,389302
6/22/21,390660
6/23/21,391981
6/24/21,393310
6/25/21,394493
6/26/21,395751
6/27/21,396730
6/28/21,397637
6/29/21,398454
6/30/21,399459
7/1/21,400312
7/2/21,401050
7/3/21,402005
7/4/21,402728
7/5/21,403281
7/6/21,404211
7/7/21,405028
7/8/21,405939
7/9/21,407145
7/10/21,408040
7/11/21,408764
7/12/21,410784
7/13/21,411406
7/14/21,411989
7/15/21,412531
7/16/21,413091
7/17/21,413609
7/18/21,414108
7/19/21,414482
7/20/21,418480
7/21/21,418987
7/22/21,419470
7/23/21,419470
7/24/21,420551
7/25/21,420967
7/26/21,421382
7/27/21,422022
7/28/21,422662
7/29/21,423217
7/30/21,423810
7/31/21,424351
8/1/21,424773
8/2/21,425195
8/3/21,425757
8/4/21,426290
8/5/21,426754
8/6/21,427371
8/7/21,427862
8/8/21,428309
8/9/21,428682
8/10/21,429179
8/11/21,429669
8/12/21,430254
8/13/21,430732
8/14/21,431225
8/15/21,431642
8/16/21,432079
8/17/21,432519
8/18/21,433049
8/19/21,433589
8/20/21,433964
8/21/21,434367
8/22/21,434756
8/23/21,435110
8/24/21,435758
8/25/21,436365
8/26/21,436861
8/27/21,437370
8/28/21,437830
8/29/21,438210
8/30/21,438560
8/31/21,439020
9/1/21,439529
9/2/21,439895
9/3/21,440225
9/4/21,440533
9/5/21,440752
9/6/21,441042
9/7/21,441411
9/8/21,441749
9/9/21,442009
9/10/21,442317
9/11/21,442655
9/12/21,442874
9/13/21,443213
9/14/21,443497
9/15/21,443928
9/16/21,444248
9/17/21,444529
9/18/21,444838
9/19/21,445133
9/20/21,445385
9/21/21,445768
9/22/21,446050
9/23/21,446368
9/24/21,446658
9/25/21,446918
9/26/21,447194
9/27/21,447373
