Date,Recovered
1/1/21,9929568
1/2/21,9927310
1/3/21,9946867
1/4/21,9975958
1/5/21,9997272
1/6/21,10016859
1/7/21,10037398
1/8/21,10037398
1/9/21,10075950
1/10/21,10092909
1/11/21,10111294
1/12/21,10129111
1/13/21,10146763
1/14/21,10162738
1/15/21,10179715
1/16/21,10196885
1/17/21,10211342
1/18/21,10228753
1/19/21,10245741
1/20/21,10265706
1/21/21,10283702
1/22/21,10300838
1/23/21,10316786
1/24/21,10330084
1/25/21,10345985
1/26/21,10359305
1/27/21,10373606
1/28/21,10394352
1/29/21,10409146
1/30/21,10423109
1/31/21,10434983
2/1/21,10448406
2/2/21,10462631
2/3/21,10480455
2/4/21,10496308
2/5/21,10510796
2/6/21,10522601
2/7/21,10534505
2/8/21,10548521
2/9/21,10561608
2/10/21,10573372
2/11/21,10589230
2/12/21,10600625
2/13/21,10611731
2/14/21,10621220
2/15/21,10633025
2/16/21,10644858
2/17/21,10656845
2/18/21,10667741
2/19/21,10678048
2/20/21,10689715
2/21/21,10699410
2/22/21,10712665
2/23/21,10726702
2/24/21,10738501
2/25/21,10750680
2/26/21,10763451
2/27/21,10775169
2/28/21,10786452
3/1/21,10798921
3/2/21,10812044
3/3/21,10826075
3/4/21,10839894
3/5/21,10854126
3/6/21,10868520
3/7/21,10882798
3/8/21,10899394
3/9/21,10920046
3/10/21,10938146
3/11/21,10953303
3/12/21,10973260
3/13/21,10989897
3/14/21,11007352
3/15/21,11027543
3/16/21,11045284
3/17/21,11063025
3/18/21,11083679
3/19/21,11107332
3/20/21,11130288
3/21/21,11151468
3/22/21,11181253
3/23/21,11205160
3/24/21,11231650
3/25/21,11264637
3/26/21,11295023
3/27/21,11323762
3/28/21,11355993
3/29/21,11393021
3/30/21,11434301
3/31/21,11474683
4/1/21,11525039
4/2/21,11569241
4/3/21,11629289
4/4/21,11682136
4/5/21,11732279
4/6/21,11792135
4/7/21,11851393
4/8/21,11913292
4/9/21,11990859
4/10/21,12081443
4/11/21,12156529
4/12/21,12253697
4/13/21,12336036
4/14/21,12429564
4/15/21,12547866
4/16/21,12671220
4/17/21,12809638
4/18/21,12953817
4/19/21,13108565
4/20/21,13276039
4/21/21,13454880
4/22/21,13648159
4/23/21,13867997
4/24/21,14085110
4/25/21,14304382
4/26/21,14556089
4/27/21,14817240
4/28/21,15086740
4/29/21,15384418
4/30/21,15684406
5/1/21,15992271
5/2/21,16292725
5/3/21,16613292
5/4/21,16951521
5/5/21,17280844
5/6/21,17612351
5/7/21,17930960
5/8/21,18317364
5/9/21,18671222
5/10/21,19027304
5/11/21,19382642
5/12/21,19734823
5/13/21,20079599
5/14/21,20432898
5/15/21,20795335
5/16/21,21174076
5/17/21,21596512
5/18/21,21986363
5/19/21,22355440
5/20/21,22712735
5/21/21,23070365
5/22/21,23425467
5/23/21,23728011
5/24/21,24054861
5/25/21,24350816
5/26/21,24633951
5/27/21,24893410
5/28/21,25178011
5/29/21,25454320
5/30/21,25692342
5/31/21,25947629
6/1/21,26179085
6/2/21,26390584
6/3/21,26597655
6/4/21,26795549
6/5/21,26984781
6/6/21,27159180
6/7/21,27341462
6/8/21,27504126
6/9/21,27655493
6/10/21,27790073
6/11/21,27911384
6/12/21,28043446
6/13/21,28162947
6/14/21,28280472
6/15/21,28388100
6/16/21,28491670
6/17/21,28580647
6/18/21,28678390
6/19/21,28765738
6/20/21,28844199
6/21/21,28926038
6/22/21,28994855
6/23/21,29063740
6/24/21,29128267
6/25/21,29193085
6/26/21,29251029
6/27/21,29309607
6/28/21,29366601
6/29/21,29427330
6/30/21,29488918
7/1/21,29548302
7/2/21,29605779
7/3/21,29658078
7/4/21,29700430
7/5/21,29752294
7/6/21,29799534
7/7/21,29843825
7/8/21,29888284
7/9/21,29933538
7/10/21,29975064
7/11/21,30014713
7/12/21,30063720
7/13/21,30104659
7/14/21,30143850
7/15/21,30183876
7/16/21,30227792
7/17/21,30269796
7/18/21,30308456
7/19/21,30353710
7/20/21,30390687
7/21/21,30429339
7/22/21,30468079
7/23/21,30468079
7/24/21,30543138
7/25/21,30579106
7/26/21,30621469
7/27/21,30663147
7/28/21,30701612
7/29/21,30743972
7/30/21,30781263
7/31/21,30820521
8/1/21,30857467
8/2/21,30896354
8/3/21,30933022
8/4/21,30974748
